run_id,timestep,mean_reward
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s1,60000,143.4
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s1,75000,190.0
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s1,90000,182.6
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s1,105000,171.2
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s1,120000,197.4
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s1,135000,155.6
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s1,150000,152.4
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s1,15000,10.2
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s1,30000,98.4
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s1,45000,144.6
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s1,60000,158.2
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s1,75000,175.4
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s1,90000,173.0
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s1,105000,181.6
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s1,120000,165.0
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s1,135000,186.0
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s1,150000,188.4
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.999_learning_rate=0.0001__s1,15000,12.0
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.999_learning_rate=0.0001__s1,30000,94.2
