run_id,env,algo,seed,learning_rate,n_steps,gamma,exploration_fraction,mean_reward,std_reward,timesteps,duration_s,status,error,timestamp
Acrobot-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s1,Acrobot-v1,PPO,1,0.0003,2048,0.99,,-84.15,36.5886,300000,1907.8,success,,2026-04-19T12:53:07
Acrobot-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=2048__s0,Acrobot-v1,PPO,0,0.0003,2048,0.999,,-81.05,24.553,300000,1864.2,success,,2026-04-19T13:00:30
Acrobot-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=512__s0,Acrobot-v1,PPO,0,0.001,512,0.99,,-93.35,40.1924,300000,1857.0,success,,2026-04-19T13:00:44
Acrobot-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=512__s1,Acrobot-v1,PPO,1,0.001,512,0.99,,-78.4,18.8849,300000,1855.5,success,,2026-04-19T13:00:48
Acrobot-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=2048__s1,Acrobot-v1,PPO,1,0.0003,2048,0.999,,-73.3,10.8356,300000,1870.9,success,,2026-04-19T13:00:36
Acrobot-v1__PPO__gamma=0.999_learning_rate=0.001_n_steps=512__s0,Acrobot-v1,PPO,0,0.001,512,0.999,,-81.05,15.1904,300000,1261.4,success,,2026-04-19T13:16:16
Acrobot-v1__PPO__gamma=0.999_learning_rate=0.001_n_steps=512__s1,Acrobot-v1,PPO,1,0.001,512,0.999,,-82.45,24.001,300000,1254.3,success,,2026-04-19T13:16:28
Acrobot-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s0,Acrobot-v1,PPO,0,0.001,2048,0.99,,-74.8,11.6301,300000,1257.1,success,,2026-04-19T13:16:28
Acrobot-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s1,Acrobot-v1,PPO,1,0.001,2048,0.99,,-70.65,21.5807,300000,1138.0,success,,2026-04-19T13:19:03
Acrobot-v1__PPO__gamma=0.999_learning_rate=0.001_n_steps=2048__s0,Acrobot-v1,PPO,0,0.001,2048,0.999,,-76.25,10.5445,300000,921.5,success,,2026-04-19T13:23:36
Acrobot-v1__PPO__gamma=0.999_learning_rate=0.001_n_steps=2048__s1,Acrobot-v1,PPO,1,0.001,2048,0.999,,-82.25,24.7141,300000,862.0,success,,2026-04-19T13:24:43
